bin,problem_type,instance,blowup,config,solver_id,status,exit_code,objective,proven_optimal,solveTime,flatTime,nodes,failures,restarts,propagations,nogoods,AverageLearnedNogoodLength,AverageLbd,AverageBacktrackAmount,nfa_glushkov_ms,nfa_glushkov_states,nfa_rbisim_ms,nfa_rbisim_states,dfa_subset_ms,dfa_subset_states,dfa_min_ms,dfa_min_states
0_low_blowup,nonogram,nonogram_94,1.0441826215022092,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,2.2005816,0.410208,173,112,0,9705,112,34.20535714285715,6.276785714285714,0,101.09000006923452,1864,286.09689994482324,1358,28.479799890192226,1864,357.24069995922036,1418
0_low_blowup,nonogram,nonogram_94,1.0441826215022092,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,2.2547356,0.423526,173,112,0,9740,112,34.20535714285715,6.276785714285714,0,101.09000006923452,1864,286.09689994482324,1358,28.479799890192226,1864,357.24069995922036,1418
0_low_blowup,nonogram,nonogram_94,1.0441826215022092,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,1.4044282,0.718708,814,595,0,856388,595,64.62016806722689,7.734453781512605,0,101.09000006923452,1864,286.09689994482324,1358,28.479799890192226,1864,357.24069995922036,1418
0_low_blowup,nonogram,nonogram_99,1.0485436893203883,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,54.825656,0.358892,2456,2009,0,171464,2009,16.78496764559482,7.709308113489298,0,95.67539996351115,1569,216.53329994296655,1133,22.049000050174072,1569,237.8865001082886,1188
0_low_blowup,nonogram,nonogram_99,1.0485436893203883,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,51.0356904,0.409431,2333,1909,0,162129,1909,16.45154531168151,7.721843897328444,0,95.67539996351115,1569,216.53329994296655,1133,22.049000050174072,1569,237.8865001082886,1188
0_low_blowup,nonogram,nonogram_99,1.0485436893203883,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,27.2837221,0.584733,8723,7412,0,11548625,7412,57.86157582298975,8.865893146249325,0,95.67539996351115,1569,216.53329994296655,1133,22.049000050174072,1569,237.8865001082886,1188
0_low_blowup,polyominoes,polyominoes_12,1.0851063829787233,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.0953681,0.35853,10,0,0,172,0,0,0,0,17.837599996710196,682,317.64369999291375,47,11.772300000302494,409,58.91049999627285,51
0_low_blowup,polyominoes,polyominoes_12,1.0851063829787233,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.0813491,0.316173,10,0,0,172,0,0,0,0,17.837599996710196,682,317.64369999291375,47,11.772300000302494,409,58.91049999627285,51
0_low_blowup,polyominoes,polyominoes_12,1.0851063829787233,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,0.001298,0.320505,10,0,0,4929,0,0,0,0,17.837599996710196,682,317.64369999291375,47,11.772300000302494,409,58.91049999627285,51
0_low_blowup,polyominoes,polyominoes_22,0.8888888888888888,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.0987601,0.315972,11,0,0,143,0,0,0,0,27.48889998474624,1041,783.9278000028571,72,14.517999981762841,475,120.4542000341462,64
